0,1
a,"[-0.5633719   0.9494698  -0.70742416 -0.3316159  -0.16776249  0.16668229
 -0.13065588  0.08061551  0.03329821  0.07642005 -0.05531248 -0.017088
 -0.12675422]"
e,"[-0.4751587   0.89752424 -0.57873434  0.13884488 -0.36292776 -0.20630884
 -0.28591576  0.20182578  0.02897773  0.03267084 -0.02215013  0.07549477
 -0.07006916]"
i,"[-0.56297237  0.9041995   0.02651943  0.6234785  -0.2933066  -0.1553993
 -0.1864308  -0.14353506 -0.16534592 -0.10395308 -0.12023106  0.05385744
 -0.15698206]"
o,"[-0.51769155  1.         -0.30786878 -0.3601653  -0.4210237   0.05864303
  0.05074298  0.05846158 -0.00445677  0.00118565 -0.01830039  0.09091268
 -0.08880855]"
u,"[-0.6321397   1.          0.17109935 -0.00930884 -0.22682893 -0.14720842
 -0.09779997 -0.08388294 -0.0145575  -0.03427672 -0.0659439  -0.02322738
 -0.05419566]"
